22/08/2015,Jerk,Legs,50,5
22/08/2015,Jerk,Legs,54,5
22/08/2015,Jerk,Legs,60,4
22/08/2015,Jerk,Legs,60,4
22/08/2015,Jerk,Legs,64,4
22/08/2015,Push Press,Shoulders,50,5
22/08/2015,Push Press,Shoulders,50,5
22/08/2015,Push Press,Shoulders,54,5
22/08/2015,Overhead Squat Ohs,Legs,50,3
22/08/2015,Overhead Squat Ohs,Legs,50,3
22/08/2015,Overhead Squat Ohs,Legs,50,3
08/09/2015,Snatch,Legs,40,5
08/09/2015,Snatch,Legs,40,5
08/09/2015,Snatch,Legs,50,4
08/09/2015,Snatch,Legs,60,2
08/09/2015,Snatch Pull,Legs,90,3
08/09/2015,Snatch Pull,Legs,90,3
08/09/2015,Snatch Pull,Legs,90,4
08/09/2015,Front Squat,Legs,60,5
08/09/2015,Front Squat,Legs,60,5
08/09/2015,Front Squat,Legs,64,5
08/09/2015,Front Squat,Legs,64,5
08/09/2015,Front Squat,Legs,64,5
02/10/2015,Front Squat,Legs,70,5
02/10/2015,Front Squat,Legs,70,5
02/10/2015,Front Squat,Legs,70,5
02/10/2015,Front Squat,Legs,70,5
02/10/2015,Front Squat,Legs,70,5
03/10/2015,Snatch Pull,Legs,70,5
03/10/2015,Snatch Pull,Legs,70,5
03/10/2015,Snatch Pull,Legs,70,5
03/10/2015,Snatch Pull,Legs,70,5
03/10/2015,Snatch Pull,Legs,70,5
06/10/2015,Clean And Jerk Cnj,Legs,70,3
06/10/2015,Clean And Jerk Cnj,Legs,70,1
06/10/2015,Clean And Jerk Cnj,Legs,70,3
06/10/2015,Clean And Jerk Cnj,Legs,70,3
06/10/2015,Clean Pull,Legs,100,3
06/10/2015,Clean Pull,Legs,100,3
06/10/2015,Clean Pull,Legs,100,3
06/10/2015,Back Squat,Legs,70,3
06/10/2015,Back Squat,Legs,70,5
06/10/2015,Back Squat,Legs,70,5
09/10/2015,Jerk,Legs,60,5
09/10/2015,Jerk,Legs,60,5
09/10/2015,Jerk,Legs,64,4
09/10/2015,Jerk,Legs,64,4
09/10/2015,Jerk,Legs,64,4
09/10/2015,Push Press,Shoulders,50,5
09/10/2015,Push Press,Shoulders,54,3
09/10/2015,Push Press,Shoulders,54,3
09/10/2015,Push Press,Shoulders,60,1
09/10/2015,Push Press,Shoulders,60,3
09/10/2015,Overhead Squat Ohs,Legs,40,1
09/10/2015,Overhead Squat Ohs,Legs,40,3
09/10/2015,Overhead Squat Ohs,Legs,40,5
09/10/2015,Overhead Squat Ohs,Legs,40,5
09/10/2015,Overhead Squat Ohs,Legs,40,5
10/10/2015,Clean And Jerk Cnj,Legs,70,2
10/10/2015,Clean And Jerk Cnj,Legs,70,3
10/10/2015,Clean And Jerk Cnj,Legs,74,2
10/10/2015,Clean Pull,Legs,110,3
10/10/2015,Clean Pull,Legs,110,3
10/10/2015,Clean Pull,Legs,110,3
10/10/2015,Back Squat,Legs,70,4
10/10/2015,Back Squat,Legs,80,3
10/10/2015,Back Squat,Legs,84,3
10/10/2015,Back Squat,Legs,84,3
13/10/2015,Snatch,Legs,50,3
13/10/2015,Snatch,Legs,50,4
13/10/2015,Snatch,Legs,54,3
13/10/2015,Snatch,Legs,60,2
13/10/2015,Snatch,Legs,60,1
13/10/2015,Snatch Pull,Legs,100,3
13/10/2015,Snatch Pull,Legs,100,3
13/10/2015,Snatch Pull,Legs,100,3
13/10/2015,Snatch Pull,Legs,100,3
13/10/2015,Snatch Pull,Legs,100,4
13/10/2015,Front Squat,Legs,70,3
13/10/2015,Front Squat,Legs,80,3
13/10/2015,Front Squat,Legs,80,3
13/10/2015,Front Squat,Legs,80,3
13/10/2015,Front Squat,Legs,80,3
13/10/2015,Front Squat,Legs,80,4
15/10/2015,Jerk,Legs,60,4
15/10/2015,Jerk,Legs,64,3
15/10/2015,Jerk,Legs,70,3
15/10/2015,Jerk,Legs,70,3
15/10/2015,Jerk,Legs,70,4
15/10/2015,Push Press,Shoulders,60,3
15/10/2015,Push Press,Shoulders,60,3
15/10/2015,Push Press,Shoulders,60,3
15/10/2015,Push Press,Shoulders,60,3
15/10/2015,Push Press,Shoulders,60,3
15/10/2015,Overhead Squat Ohs,Legs,50,3
15/10/2015,Overhead Squat Ohs,Legs,50,3
15/10/2015,Overhead Squat Ohs,Legs,50,3
15/10/2015,Overhead Squat Ohs,Legs,50,3
15/10/2015,Overhead Squat Ohs,Legs,50,4
17/10/2015,Clean And Jerk Cnj,Legs,70,3
17/10/2015,Clean And Jerk Cnj,Legs,70,3
17/10/2015,Clean And Jerk Cnj,Legs,70,3
17/10/2015,Clean And Jerk Cnj,Legs,70,3
17/10/2015,Clean And Jerk Cnj,Legs,75,3
17/10/2015,Clean Pull,Legs,110,3
17/10/2015,Clean Pull,Legs,110,3
17/10/2015,Clean Pull,Legs,110,3
17/10/2015,Clean Pull,Legs,110,3
17/10/2015,Clean Pull,Legs,120,3
17/10/2015,Back Squat,Legs,80,3
17/10/2015,Back Squat,Legs,84,3
17/10/2015,Back Squat,Legs,84,3
17/10/2015,Back Squat,Legs,90,3
17/10/2015,Back Squat,Legs,90,3
17/10/2015,Back Squat,Legs,90,3
17/10/2015,Tommys,Abs,10,10
17/10/2015,Tommys,Abs,10,10
17/10/2015,Tommys,Abs,10,10
20/10/2015,Snatch,Legs,60,1
20/10/2015,Snatch,Legs,60,1
20/10/2015,Snatch,Legs,55,2
20/10/2015,Snatch,Legs,55,2
20/10/2015,Snatch,Legs,55,2
20/10/2015,Snatch Pull,Legs,100,3
